Categories,Competency,Proficiency Level,Course Title ,URL,Course with Hyperlink,Course Provider,Learning Outcomes,Training Period, Cost ,Training Mode,Start Date,End Date,Prioritisation
Finance Functional Competencies,C04: Financial Reporting,(Level 3) Advanced,FRS 116 – Accounting for Leases (Updated),,FRS 116 – Accounting for Leases (Updated),ACCA,√ Apply FRS 116 - Accounting for Leases,8hr,$360.00,Virtual Classroom,Nil,,0
Finance Functional Competencies,C04: Financial Reporting,(Level 3) Advanced,[E-Learning] Valuation of Intangible Assets - Common Methods Adopted in the Marketplace,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000001odtBAAQ,[E-Learning] Valuation of Intangible Assets - Common Methods Adopted in the Marketplace,ISCA,√ Understand the various valuation methods and approach for Intangible Assets,1.5hrs,$80.34,E-Learning,OTOT,Within 6 months,8
Finance Functional Competencies,C04: Financial Reporting,(Level 3) Advanced,[E-Learning] Valuation of Intangible Assets – Common methods adopted in the marketplace,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000001odtBAAQ,[E-Learning] Valuation of Intangible Assets – Common methods adopted in the marketplace,ISCA,√ Understand the various valuation methods and approach for Intangible Assets,1.5hrs,$100.43,E-Learning,OTOT,Within 6 months,7
Finance Functional Competencies,C04: Financial Reporting,(Level 3) Advanced,"2025 Technical Update on SFRS(I), IFRS Accounting Standards",https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0gIe000000Mll9IAC,"2025 Technical Update on SFRS(I), IFRS Accounting Standards",ISCA,√ Update preparers and users of financial statements on newly issued and amended FRS,7HRS,$362.00,Virtual Classroom,20/8/2025,20/8/2025,3
Finance Functional Competencies,C04: Financial Reporting,(Level 3) Advanced,Accounting for Basic Consolidation Procedures: Case Studies & Journal Entries,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTAwAAO,Accounting for Basic Consolidation Procedures: Case Studies & Journal Entries,ISCA,"√ Basic consolidation principles and techniques
√  Changes in shareholding interest",7HRS,$434.00,Virtual Classroom,9/9/2025,9/9/2025,1
Finance Functional Competencies,C04: Financial Reporting,(Level 3) Advanced,Financial Reporting Standards: 2023 Annual Update,,Financial Reporting Standards: 2023 Annual Update,ISCA,√ Learn about the revisions in FRS that are effective from 2020 to 2023,4hrs ,$197.76,Classroom,Nil,,0
Finance Functional Competencies,C04: Financial Reporting,(Level 3) Advanced,Financial Reporting: Analysis from a managerial perspective,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTAeAAO,Financial Reporting: Analysis from a managerial perspective ,ISCA,√ Discuss financial reporting and analysis in a more holistic manner from both the user's perspective and preparer's perspective.,7HRS,$351.00,Virtual Classroom,Nil,,0
Finance Functional Competencies,C04: Financial Reporting,(Level 3) Advanced,Financial Statements: Presentation and Disclosures,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTAJAA4,Financial Statements: Presentation and Disclosures,ISCA,"
√ Disclosure requirements relating to preparation of financial reports for non-listed companies",7hr,$362.00,Virtual Classroom,11/7/2025,11/7/2025,2
Finance Functional Competencies,C04: Financial Reporting,(Level 3) Advanced,FRS Updates 2023,,FRS Updates 2023,ISCA,√ Discuss the provisions of the new/revised FRS issued by ASC and effective from 2020 to 2023,7hrs,$292.52,Virtual Classroom,Nil,,0
Finance Functional Competencies,C04: Financial Reporting,(Level 3) Advanced,IFRS 15 / FRS 115 Revenue from Contracts with Customers - Practical Insights,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTBDAA4,IFRS 15 / FRS 115 Revenue from Contracts with Customers - Practical Insights,ISCA,√ Learn about the new accounting standard on revenue recognition,1 day (7hr),$351.00,Virtual Classroom,Nil,,0
Finance Functional Competencies,C04: Financial Reporting,(Level 3) Advanced,IFRS 15 / FRS 115: Revenue from Contracts with Customers - An Overview,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTAoAAO,IFRS 15 / FRS 115: Revenue from Contracts with Customers - An Overview,ISCA,√ Learn about the new accounting standard on revenue recognition,3.5hr,$247.00,Virtual Classroom,17/9/2025,17/9/2025,5
Finance Functional Competencies,C04: Financial Reporting,(Level 3) Advanced,IFRS 16 / FRS 116: Leases: A Deeper Dive into the New Rules & Avoid the Pitfalls,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTAcAAO&_ga=2.110677120.402635895.1671009474-1149870743.1670913560,IFRS 16 / FRS 116: Leases: A Deeper Dive into the New Rules & Avoid the Pitfalls,ISCA,"√ Comprehensive analysis of IFRS 16 technical requirements for lease accounting
",7HRS,$362.00,Virtual Classroom,24/7/2025,24/7/2025,4
Finance Functional Competencies,C04: Financial Reporting,(Level 3) Advanced,IFRS 9 / FRS 109: Financial Instruments - A Practical Guide,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g28000001BIoaAAG,IFRS 9 / FRS 109: Financial Instruments - A Practical Guide,ISCA,√ Provides a practical guide on the new accounting standard for financial instrument,7HRS,$534.00,Classroom,10/11/2025,10/11/2025,6
Finance Functional Competencies,C04: Financial Reporting,(Level 3) Advanced,IFRS 9/FRS 109: Financial Instruments - Practical Insights on Post Implementation Issues (Live Webinar),https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTAgAAO,IFRS 9/FRS 109: Financial Instruments - Practical Insights on Post Implementation Issues (Live Webinar),ISCA,√ Provides a practical guide on the new accounting standard for financial instrument,7HRS, TBA ,TBA,Nil,,0
Finance Functional Competencies,C04: Financial Reporting,(Level 3) Advanced,IFRS13/SFRS(I) 13/FRS113: Fair Value Measurement – A Practical Approach,,IFRS13/SFRS(I) 13/FRS113: Fair Value Measurement – A Practical Approach,ISCA,,7hrs (13 Apr),$284.00,Virtual Classroom,Nil,,0
Finance Functional Competencies,C04: Financial Reporting,(Level 3) Advanced,[E-Learning] Financial Reporting & Analysis: Complete Preparation,https://www.learn.gov.sg/learner/index.html#/course/309236?app=dlp,[E-Learning] Financial Reporting & Analysis: Complete Preparation,learn.gov.sg,,OTOT,0,E-Learning,OTOT,OTOT,9
Finance Functional Competencies,C04: Financial Reporting,(Level 4) Expert,[E-Learning] Accounting for Digital Assets,,[E-Learning] Accounting for Digital Assets,ISCA,,2HRS (18 AUG),$80.00,E-Learning,,,0
Finance Functional Competencies,C04: Financial Reporting,(Level 4) Expert,[E-Learning] Understanding of International Valuation Standards (IVS) for Financial Reporting,,[E-Learning] Understanding of International Valuation Standards (IVS) for Financial Reporting,ISCA,,2HRS (12 May),$80.00,E-Learning,,,0
Finance Functional Competencies,C04: Financial Reporting,(Level 4) Expert,Financial Reporting Challenges and Hot Button Issues,,Financial Reporting Challenges and Hot Button Issues,ISCA,,,,Blended,,,0
Finance Functional Competencies,C04: Financial Reporting,(Level 4) Expert,Navigating the Pitfalls in Preparing Financial Statements,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000001svH8AAI,Navigating the Pitfalls in Preparing Financial Statements,ISCA,,7hrs,$434.00,Virtual Classroom,17/9/2025,17/9/2025,2
Finance Functional Competencies,C04: Financial Reporting,(Level 4) Expert,Professional Accountants In Business (PAIB) Conference 2025,,Professional Accountants In Business (PAIB) Conference 2025,ISCA,,1DAY,TBA,Classroom,TBA,TBA,3
Finance Functional Competencies,C04: Financial Reporting,(Level 4) Expert,Updates to Accounting Standards,,Updates to Accounting Standards,ISCA,,2HRS (15 DEC),$80.00,Virtual Classroom,,,0
Finance Functional Competencies,C04: Financial Reporting,(Level 4) Expert,WSQ Let's work on easy-to-understand reports! Effective data visualisation and communication,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000st2GAAQ,WSQ Let's work on easy-to-understand reports! Effective data visualisation and communication,ISCA,√ learn all the basic skills and techniques to design and create effective and aesthetically pleasing data visualisations using Tableau ,16HRS,$610.00,Classroom,27/11/2025,28/11/2025,1
Finance Functional Competencies,C04: Financial Reporting,(Level 5) Master,Ethics: Exercising Judgement in Financial Reporting (The ‘Should’ and ‘Should Not’),https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTDVAA4,Ethics: Exercising Judgement in Financial Reporting (The ‘Should’ and ‘Should Not’),ISCA,,7hrs,$434.00,Virtual Classroom,3/10/2025,3/10/2025,2
Finance Functional Competencies,C04: Financial Reporting,(Level 5) Master,Navigating the Pitfalls in Preparing Financial Statements,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000001svH8AAI,Navigating the Pitfalls in Preparing Financial Statements,ISCA,,7hrs,$434.00,Virtual Classroom,17/9/2025,17/9/2025,1
Finance Functional Competencies,C04: Financial Reporting,(Level 5) Master,Professional Accountants In Business (PAIB) Conference 2025,,Professional Accountants In Business (PAIB) Conference 2025,ISCA,,1DAY,TBA,Classroom,TBA,TBA,3
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 1) Foundation,NFS@Gov E-learning Modules,,NFS@Gov E-learning Modules,AGD,,,,TBA,,,0
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 1) Foundation,Finance 101 for Public Officers,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CRBFMVL,Finance 101 for Public Officers,Civil Service College,,16hrs,$540.00,Virtual Classroom,3/7/2025,4/7/2025,2
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 1) Foundation,Fundamentals of Public Finance Management Module 1 - Ministry and Statutory Board Finance,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CRFPFM1,Fundamentals of Public Finance Management Module 1 - Ministry and Statutory Board Finance,Civil Service College,"√ Identify underlying governance structure of public sector 
√ Describe relevant Finance policies and IM, and key concepts in preparation and administration of government budget
√ Understand costing and budgeting approaches
√ Explain key concepts and overview of financial management in SB",14.25HRS,$925.00,Classroom,28/8/2025,29/8/2025,3
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 1) Foundation,Managing Conflict of Interest and Related-Party Transactions,,Managing Conflict of Interest and Related-Party Transactions,Civil Service College,"√ Evaluate the risk and impact of conflict of interest scenarios and related party transactions
√ Disclosure requirements",,,Virtual Classroom,NIL,,0
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 1) Foundation,Conflict of Interests and Related Parties – Why it Matters?,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTEHAA4,Conflict of Interests and Related Parties – Why it Matters?,ISCA,"√ Evaluate the risk and impact of conflict of interest scenarios and related party transactions
√ Disclosure requirements",7hrs,$351.00,Virtual Classroom,7/8/2025,7/8/2025,1
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 2) Intermediate,Fixed Asset Management,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CRFAM12,Fixed Asset Management,Civil Service College,√ Help you better manage your organisation fixed asset,8hr,$410.00,Classroom,9/1/2026,9/1/2026,1
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 2) Intermediate,Fundamentals of Public Finance Management Module 2 - Government and Statutory Board Accounting,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CRFPFMB,Fundamentals of Public Finance Management Module 2 - Government and Statutory Board Accounting,Civil Service College,"√ List and apply government accounting principles
√ Describe key government accounting and reporting concepts
√ Apply key SB-SRS ",8.75HRS,$455.00,Virtual Classroom,4/11/2025,4/11/2025,2
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 2) Intermediate,The Art of Specification Writing,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CRTSRV1,The Art of Specification Writing,Civil Service College,√ Learn the basics of writing specifications and recognise mistakes from previous cases,13HRS,$550.00,Virtual Classroom,15/10/2025,16/10/2025,3
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 2) Intermediate,Understanding Leases & Tenancy Agreements from the Legal Perspective,,Understanding Leases & Tenancy Agreements from the Legal Perspective,ISCA,,7hr,$292.52,Virtual Classroom,Nil,,0
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 2) Intermediate,WSQ Review and Implement Financial Controls,,WSQ Review and Implement Financial Controls,ISCA,,2 days (26 - 27 Jun),$610.00,Classroom,Nil,,0
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 2) Intermediate,Public Accountability and Audit of Public Funds,,Public Accountability and Audit of Public Funds,The Institute of Internal Auditors,"√ Understand the principles of Government accounting and the public accounting framework
√ Analyze common auditor-general observations
√ Improve the internal audit of agencies",2 days (22 - 23 May),"$1,040.00",TBA,,,0
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 3) Advanced,Public Financial Management & Procurement: Contemporary Issues & Audit Findings,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTByAAO&_ga=2.267902990.1626425500.1670914557-1149870743.1670913560,Public Financial Management & Procurement: Contemporary Issues & Audit Findings,ISCA,"√ Audit Findings and concerns in recent years
√ Public Procurement
√ Financial Controls and key audit issues",7HRS,$362.00,Virtual Classroom,21/10/2025,21/10/2025,1
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 3) Advanced,Supply Chain Resilience and the implications to Businesses,,Supply Chain Resilience and the implications to Businesses,ISCA,,2HRS (17 NOV),$80.00,Virtual Classroom,,,0
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 3) Advanced,Understanding Leases & Tenancy Agreements from the Legal Perspective,,Understanding Leases & Tenancy Agreements from the Legal Perspective,ISCA,,7hr (13 Oct),$292.52,Virtual Classroom,,,0
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 3) Advanced,Business Process ReEngineering,https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage%7C2&ROXY=0x000000000025a387&DISPMODE=Calendar,Business Process ReEngineering,The Institute of Internal Auditors,,8hrs,$700.00,Classroom,Nil,Nil,0
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 3) Advanced,Internal Controls Masterclass,https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage|2&ROXY=0x000000000025a608&DISPMODE=Calendar,Internal Controls Masterclass,The Institute of Internal Auditors,,16hrs,"$1,040.00",Classroom,21/7/2025,22/7/2025,3
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 3) Advanced,Public Services Internal Audit Conference 2026,,Public Services Internal Audit Conference 2026,The Institute of Internal Auditors,,,,Classroom,NA,,0
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 4) Expert,Professional Accountants In Business (PAIB) Conference 2025,,Professional Accountants In Business (PAIB) Conference 2025,ISCA,,1DAY,TBA,Classroom,TBA,TBA,2
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 4) Expert,Internal Controls Masterclass,https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage|2&ROXY=0x000000000025a608&DISPMODE=Calendar,Internal Controls Masterclass,The Institute of Internal Auditors,,16hrs,"$1,040.00",Classroom,21/7/2025,22/7/2025,1
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 4) Expert,Public Services Internal Audit Conference 2026,,Public Services Internal Audit Conference 2026,The Institute of Internal Auditors,,,,Classroom,NA,,3
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 5) Master,Ethical Issues in Risk Management and Internal Controls,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000001pCKLAA2,Ethical Issues in Risk Management and Internal Controls,ISCA,,7hrs,$362.00,Virtual Classroom,29/8/2025,29/8/2025,1
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 5) Master,Professional Accountants In Business (PAIB) Conference 2025,,Professional Accountants In Business (PAIB) Conference 2025,ISCA,,1DAY,TBA,Classroom,TBA,TBA,2
Finance Functional Competencies,C05: Financial Operations & Controls,(Level 5) Master,Public Services Internal Audit Conference 2026,,Public Services Internal Audit Conference 2026,The Institute of Internal Auditors,,,,Classroom,NA,,3
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 1) Foundation,Cost-Benefit Analysis for Beginners Workshop,,Cost-Benefit Analysis for Beginners Workshop,Civil Service College,"√ Introduction to key economic concepts and its application to Cost-Benefit Analysis
√ Determine the impacts of a proposed policy on society",,840,Classroom,TBA,TBA,0
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 1) Foundation,Effective Budgeting Skills,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CREBS13,Effective Budgeting Skills,Civil Service College,"√ Describe budgeting and its purpose
√ Distinguish the different types of budget
√ Explain the principles of a good budget
√ Budget for organiation and departments using relevant tools and techniques",16HRS,$545.00,Classroom,2/2/2026,3/2/2026,3
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 1) Foundation,Finance 101 for Public Officers,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CRBFMVL,Finance 101 for Public Officers,Civil Service College,,16hrs,$540.00,Virtual Classroom,3/7/2025,4/7/2025,1
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 1) Foundation,Fundamentals of Public Finance Management Module 1 - Ministry and Statutory Board Finance,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CRFPFM1,Fundamentals of Public Finance Management Module 1 - Ministry and Statutory Board Finance,Civil Service College,"√ Identify underlying governance structure of public sector 
√ Describe relevant Finance policies and IM, and key concepts in preparation and administration of government budget
√ Understand costing and budgeting approaches
√ Explain key concepts and overview of financial management in SB",14.25HRS,$925.00,Classroom,28/8/2025,29/8/2025,2
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 2) Intermediate,Cost-Benefit Analysis Workshop for Practitioners,,Cost-Benefit Analysis Workshop for Practitioners,Civil Service College,"√ Delve into applications and challenges of CBA in practice. 
√ Understand how CBA is applied to policy and decision-making processes",,TBA,Virtual Classroom,TBA,TBA,0
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 2) Intermediate,Budgeting - What do you need to do,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000002wwY6AAI,Budgeting - What do you need to do,ISCA,,3.5HRS,$242.00,Classroom,20/6/2025,20/6/2025,3
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 2) Intermediate,Budgeting: Going Beyond a Routine Exercise,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g0K00000A9dwVQAR,Budgeting: Going Beyond a Routine Exercise,ISCA,,14HRS,$849.00,Classroom,Nil,Nil,0
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 2) Intermediate,Excel Budgeting Techniques,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g28000001BJ6JAAW,Excel Budgeting Techniques,ISCA,√ Provide practical guidance on preparing more accurate forecast and budget with less time using excel,14HRS,$849.00,Classroom,24/7/2025,25/7/2025,1
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 3) Advanced,Building Interactive Budget Tracking and Variance Analysis Model using Excel,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTEMAA4,Building Interactive Budget Tracking and Variance Analysis Model using Excel,ISCA,"√ Build effective Budget Model quickly and systematically to meet business needs efficiently
√ Prepare What-if analysis to support better Management Decision Making
√ Understand the Do’s and Don’t’s in Building Financial Model using Excel
√ Leverage on Excel Functions to enhance the models
√ Use Macro recording to automate certain repetitive tasks efficiently",7HRS,$362.00,Virtual Classroom,29/8/2025,29/8/2025,3
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 3) Advanced,Excel Budgeting Techniques,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g28000001BJ6JAAW,Excel Budgeting Techniques,ISCA,√ Provide practical guidance on preparing more accurate forecast and budget with less time using excel,14HRS,$849.00,Classroom,24/7/2025,25/7/2025,1
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 3) Advanced,Financial Planning & Analysis Methodologies – A Practical Approach,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTCYAA4,Financial Planning & Analysis Methodologies – A Practical Approach,ISCA,"√ Understand various budgeting approaches
√ Develop an annual budget
√ Perform long term forecasting for strategic decisions and financial analysis
",7HRS,$445.00,Classroom,14/7/2025,14/7/2025,2
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 4) Expert,Practical Financial Modelling & Analysis with Excel,,Practical Financial Modelling & Analysis with Excel,ISCA,,,,,Nil,,0
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 4) Expert,Practical Financial Modelling & Analysis with Excel and ChatGPT,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g0K00000FqfgmQAB,Practical Financial Modelling & Analysis with Excel and ChatGPT,ISCA,√ Illustrate the professional way to construct and use financial models on spreadsheet,7HRS,$445.00,Classroom,28/7/2025,28/7/2025,1
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 4) Expert,Professional Accountants In Business (PAIB) Conference 2025,,Professional Accountants In Business (PAIB) Conference 2025,ISCA,,1DAY,TBA,Classroom,TBA,TBA,3
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 4) Expert,Understanding Business Planning & Budgeting,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g28000001BIriAAG,Understanding Business Planning & Budgeting,ISCA,,14hrs ,$849.00,Virtual Classroom,8/7/2025,9/7/2025,1
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 4) Expert,WSQ Develop and Establish Financial Budget and Plans,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g28000002akbUAAQ,WSQ Develop and Establish Financial Budget and Plans,ISCA,,16HRS,$560.00,Classroom,NIL,,0
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 5) Master,Powerful Data Modelling and Data Analysis using Excel Power Pivot,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000002wWVCAA2,Powerful Data Modelling and Data Analysis using Excel Power Pivot,ISCA,,7hrs,$445.00,Classroom,3/6/2025,3/6/2025,1
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 5) Master,Practical Financial Modelling & Analysis with Excel and ChatGPT,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g0K00000FqfgmQAB,Practical Financial Modelling & Analysis with Excel and ChatGPT,ISCA,√ Illustrate the professional way to construct and use financial models on spreadsheet,7hrs,$445.00,Classroom,28/7/2025,28/7/2025,2
Finance Functional Competencies,C06: Budget Planning & Administration,(Level 5) Master,Professional Accountants In Business (PAIB) Conference 2025,,Professional Accountants In Business (PAIB) Conference 2025,ISCA,,1DAY,TBA,Classroom,TBA,TBA,3
Finance Functional Competencies,C07: Value-For-Money & Resource Optimisation,(Level 1) Foundation,Effective Budgeting Skills,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CREBS13,Effective Budgeting Skills,Civil Service College,"√ Describe budgeting and its purpose
√ Distinguish the different types of budget
√ Explain the principles of a good budget
√ Budget for organiation and departments using relevant tools and techniques",16HRS,$545.00,Classroom,2/2/2026,3/2/2026,3
Finance Functional Competencies,C07: Value-For-Money & Resource Optimisation,(Level 1) Foundation,Fundamentals of Public Finance Management Module 1 - Ministry and Statutory Board Finance,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CRFPFM1,Fundamentals of Public Finance Management Module 1 - Ministry and Statutory Board Finance,Civil Service College,"√ Public finance policies
√ Government accounting
√ Central financial systems",14.25HRS,$925.00,Classroom,28/8/2025,29/8/2025,2
Finance Functional Competencies,C07: Value-For-Money & Resource Optimisation,(Level 1) Foundation,Embarking on Green and Sustainable Financing,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000002wlKBAAY,Embarking on Green and Sustainable Financing,ISCA,,3.5HRS,$206.00,Virtual Classroom,10/10/2025,10/10/2025,1
Finance Functional Competencies,C07: Value-For-Money & Resource Optimisation,(Level 1) Foundation,[E-Learning] Introduction to Evidence-based Policymaking,,[E-Learning] Introduction to Evidence-based Policymaking,learn.gov.sg,,35min,Free,E-Learning,OTOT,OTOT,4
Finance Functional Competencies,C07: Value-For-Money & Resource Optimisation,(Level 2) Intermediate,Cost-Benefit Analysis for Beginners Workshop,,Cost-Benefit Analysis for Beginners Workshop,Civil Service College,"√ Introduction to key economic concepts and its application to Cost-Benefit Analysis
√ Determine the impacts of a proposed policy on society",,840,Classroom,TBA,TBA,0
Finance Functional Competencies,C07: Value-For-Money & Resource Optimisation,(Level 2) Intermediate,Cost-Benefit Analysis Workshop for Practitioners,,Cost-Benefit Analysis Workshop for Practitioners,Civil Service College,"√ Delve into applications and challenges of CBA in practice. 
√ Understand how CBA is applied to policy and decision-making processes",,TBA,Virtual Classroom,TBA,TBA,0
Finance Functional Competencies,C07: Value-For-Money & Resource Optimisation,(Level 2) Intermediate,Effective Budgeting Skills,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CREBS13,Effective Budgeting Skills,Civil Service College,"√ Describe budgeting and its purpose
√ Distinguish the different types of budget
√ Explain the principles of a good budget
√ Budget for organiation and departments using relevant tools and techniques",16HRS,$545.00,Classroom,2/2/2026,3/2/2026,2
Finance Functional Competencies,C07: Value-For-Money & Resource Optimisation,(Level 2) Intermediate,Evaluation Planning at Programme Design Stage,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CRIPE12,Evaluation Planning at Programme Design Stage,Civil Service College,"√ Explain how a policy/programme can benefit from evaluation planning
√ Apply Theory of Change concepts to articulate how a policy/programme leads to its desired outcomes
√ Practise “SMART” principles when setting indicators for a policy/programme
√ Apply a basic Evaluation Plan to a policy/programme that sets out the requirements for the evaluation
√ Apply Data Collection principles to collect information required to evaluate a policy/programme",8hrs,470,Virtual Classroom,13/6/2025,13/6/2025,1
Finance Functional Competencies,C07: Value-For-Money & Resource Optimisation,(Level 2) Intermediate,Interpreting Financials for Non-Finance Professionals,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000002wwXwAAI,Interpreting Financials for Non-Finance Professionals,ISCA,,7HRS,$534.00,Classroom,19/9/2025,19/9/2025,3
Finance Functional Competencies,C07: Value-For-Money & Resource Optimisation,(Level 3) Advanced,Evaluation Planning at Programme Design Stage,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CRIPE12,Evaluation Planning at Programme Design Stage,Civil Service College,"√ Explain how a policy/programme can benefit from evaluation planning
√ Apply Theory of Change concepts to articulate how a policy/programme leads to its desired outcomes
√ Practise “SMART” principles when setting indicators for a policy/programme
√ Apply a basic Evaluation Plan to a policy/programme that sets out the requirements for the evaluation
√ Apply Data Collection principles to collect information required to evaluate a policy/programme",8hrs,470,Virtual Classroom,13/6/2025,13/6/2025,3
Finance Functional Competencies,C07: Value-For-Money & Resource Optimisation,(Level 3) Advanced,Financial Planning & Analysis Methodologies – A Practical Approach,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTCYAA4,Financial Planning & Analysis Methodologies – A Practical Approach,ISCA,"√ Understand various budgeting approaches
√ Develop an annual budget
√ Perform long term forecasting for strategic decisions and financial analysis
",7HRS,$445.00,Classroom,14/7/2025,14/7/2025,2
Finance Functional Competencies,C07: Value-For-Money & Resource Optimisation,(Level 3) Advanced,Valuation Fundamentals for Infrastructure Projects,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0gIe000000LdDmIAK,Valuation Fundamentals for Infrastructure Projects,ISCA,"√ Project Lifecycle
√ Project Risks and Financing
√ Contracts and Modelling",3.5hrs,$282.00,Classroom,Nil,Nil,0
Finance Functional Competencies,C07: Value-For-Money & Resource Optimisation,(Level 4) Expert,ISCA Infrastructure & Project Finance Qualification (ISCA IPFQ),,ISCA Infrastructure & Project Finance Qualification (ISCA IPFQ),ISCA,"√ Project Lifecycle
√ Project Risks and Financing
√ Contracts and Modelling",6 days,7062,Workshop,,,0
